Name	Set	ImageFile	Rarity	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Species/Class	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Keeve Falor	SE	ST2E-EN01215	C	1C215	Personnel	1					[Baj]	[Stf]			Bajoran	Biology Honor Leadership	6	5	6	
Kira Nerys Colonel Kira	SE	ST2E-EN01216	R	1R216	Personnel	3					[Baj]	[Cmd] [DS9]			Bajoran	Diplomacy Honor Leadership Officer Programming Security	6	6	6	While this personnel is present with your [Fed] personnel, each of your other [Baj] personnel present is attributes +1.
Li Nalas Legend of Bajor	SE	ST2E-EN01217	S	1S217	Personnel	2					[Baj]	[Cmd] [DS9]		Bajoran Resistance. 	Bajoran	Geology Honor Leadership Officer	8	5	5	When you play this personnel, you may draw a card.  When this personnel is killed, you must discard a card from hand.
Lupaza Resistance Fighter	SE	ST2E-EN01218	U	1U218	Personnel	2					[Baj]	[Stf]		Bajoran Resistance. 	Bajoran	Medical Programming Security Transporters	5	6	5	When you play this personnel, you may download Just Like Old Times.
Mora Pol Pioneering Scientist	SE	ST2E-EN01219	U	1U219	Personnel	2					[Baj]	[Stf]			Bajoran	2 Exobiology Physics 2 Science	5	7	4	
Odo Constable	SE	ST2E-EN01220	R	1R220	Personnel	5					[Baj]	[Cmd] [DS9]		Shape-shifter. 	Changeling	Honor Law Leadership Navigation 2 Programming 2 Security	6	7	8	While an opponent's Thief or Treachery personnel is at this mission, that personnel cannot use his or her abilities.
Opaka Kai of Bajor	SE	ST2E-EN01221	R	1R221	Personnel	5					[Baj]			Kai. 	Bajoran	Anthropology Diplomacy 2 Honor 3 Leadership	9	6	3	When you play this personnel, you may download a [Baj] personnel.
Ranjen Koral Student of B'hala	SE	ST2E-EN01222	U	1U222	Personnel	2					[Baj]			Prylar. 	Bajoran	Anthropology Archaeology Programming Science	6	5	4	When you play this personnel, you may take a card from your discard pile into hand.
Rom Diagnostic and Repair Technician	SE	ST2E-EN01223	R	1R223	Personnel	3					[Baj]	[Stf] [DS9]			Ferengi	2 Engineer Navigation Physics Programming	5	5	4	While this personnel is facing a dilemma, he is attributes +1 and gains Astrometrics, Honor, Physics.
Shakaar Edon Resistance Leader	SE	ST2E-EN01224	R	1R224	Personnel	3					[Baj]	[Stf]		Bajoran Resistance. 	Bajoran	Biology Geology 2 Leadership Security	6	6	6	Each of your other [Baj] personnel present is Strength +1 (or +2 while in combat).
Shandor	SE	ST2E-EN01225	C	1C225	Personnel	1					[Baj]	[DS9]		Prylar. 	Bajoran	Archaeology Diplomacy Honor	6	5	3	
Trazko Hired Muscle	SE	ST2E-EN01226	R	1R226	Personnel	2					[Baj]	[Stf]		Assassin. 	Bajoran	Astrometrics Programming 2 Treachery	2	5	6	Order - Return this personnel to his owner's hand to kill an opponent's Treachery personnel present.
Weld Ram	SE	ST2E-EN01227	C	1C227	Personnel	1					[Baj]	[Stf]			Bajoran	Archaeology Geology Science	5	5	5	
Winn Adami Kai of Bajor	SE	ST2E-EN01228	U	1U228	Personnel	2					[Baj]			Kai. 	Bajoran	Diplomacy Law Leadership Treachery	3	6	4	Order - Discard a card from hand to place a non-[Baj] personnel from your discard pile on top of your deck.
Ari	SE	ST2E-EN01229	U	1U229	Personnel	2					[Car]	[Stf]		Dissident. 	Cardassian	Honor Officer Programming Transporters	6	5	6	When you play this personnel, if you have a Gul or Legate at this mission, this personnel's cost -1.
Corbin Entek Undercover Operations Supervisor	SE	ST2E-EN01230	R	1R230	Personnel	2					[Car]	[Cmd]			Cardassian	Biology Exobiology Intelligence Security Treachery	3	6	5	Order - Kill your captive to destroy an event that captive's owner commands.
Damar Loyal Glinn	SE	ST2E-EN01231	U	1U231	Personnel	2					[Car]	[Stf]		Glinn. 	Cardassian	Astrometrics Engineer Physics Programming	4	5	6	Order - If this personnel is present with your Gul, shuffle your deck.  You may do this only once each turn.
Danar Irascible Gul	SE	ST2E-EN01232	U	1U232	Personnel	2					[Car]	[Cmd]		Commander: Aldara. Gul. 	Cardassian	Astrometrics Engineer Leadership Navigation Officer	5	5	6	
Darhe'el The Butcher of Gallitep	SE	ST2E-EN01233	U	1U233	Personnel	3					[Car]	[Cmd] [Pa]		Gul. 	Cardassian	Exobiology Geology Leadership Officer 2 Treachery	1	6	5	When you place an opponent's personnel in your brig, you may discard a card from hand to draw two cards.  You may do this only once each turn.
Daro	SE	ST2E-EN01234	C	1C234	Personnel	1					[Car]	[Stf]		Glinn. 	Cardassian	Astrometrics Engineer Transporters	5	5	5	
Dukat Military Advisor	SE	ST2E-EN01235	R	1R235	Personnel	3					[Car]	[Cmd]		Commander: Prakesh. Gul. 	Cardassian	Diplomacy Leadership Navigation Officer 2 Treachery	2	6	6	Order - Place a card from hand on the bottom of your deck.
Elim Garak Agent of the Obsidian Order	SE	ST2E-EN01236	R	1R236	Personnel	2					[Car]	[Cmd]			Cardassian	Exobiology Intelligence Programming Security Treachery	3	6	6	While this personnel is attempting a mission, you may discard a personnel from hand to give him one of the discarded personnel's skills until the end of that mission attempt.
Emok	SE	ST2E-EN01237	C	1C237	Personnel	1					[Car]	[Stf]			Cardassian	Exobiology Intelligence Medical	5	5	5	
Enabran Tain Head of the Obsidian Order	SE	ST2E-EN01238	R	1R238	Personnel	4					[Car]	[Cmd]			Cardassian	Engineer 2 Intelligence Leadership Programming Security 2 Treachery	2	7	3	When an engagement involving your [Car] ship or [Rom] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement.
Evek Attaché to the Demilitarized Zone	SE	ST2E-EN01239	R	1R239	Personnel	3					[Car]	[Cmd]		Commander: Vetar. Gul. 	Cardassian	Anthropology Diplomacy Law Leadership Officer Security	4	5	6	When you play this personnel, you may discard a card from hand to download a Capture card.
Gilora Rejal Subspace Researcher	SE	ST2E-EN01240	U	1U240	Personnel	2					[Car]	[Stf]			Cardassian	Astrometrics Engineer Programming Science	6	6	4	While this personnel is facing a dilemma, she gains Physics and Science.
Jerax	SE	ST2E-EN01241	C	1C241	Personnel	1					[Car]	[Stf]		Glinn. 	Cardassian	Biology Geology Security	4	5	7	
Joret Dal Patriotic Visionary	SE	ST2E-EN01242	R	1R242	Personnel	1					[Car]	[Stf]		Dissident. Glinn. 	Cardassian	Biology Honor Intelligence Science Security	6	5	6	While a [Car] ship is at this mission, it is Weapons -2 and Shields -2.
Kovat Public Conservator	SE	ST2E-EN01243	U	1U243	Personnel	1					[Car]				Cardassian	Anthropology Diplomacy Law	5	5	3	While this personnel is attempting a mission, you may kill your captive to make this personnel attributes +3 until the end of that mission attempt.  You may do this only once each turn.
Lemec Posturing Negotiator	SE	ST2E-EN01244	U	1U244	Personnel	3					[Car]	[Cmd]		Commander: Reklar. Gul. 	Cardassian	Diplomacy Geology Medical Officer Transporters Treachery	4	5	6	While you have a higher score than each of your opponents, this personnel is Cunning +2 and Strength +2.
Madred Calculating Captor	SE	ST2E-EN01245	R	1R245	Personnel	3					[Car]	[Cmd]		Gul. 	Cardassian	Archaeology Intelligence Officer Security 2 Treachery	2	6	5	When you play this personnel, you may download a Punishment card.
Makbar Chief Archon	SE	ST2E-EN01246	R	1R246	Personnel	2					[Car]				Cardassian	Anthropology Law Medical Treachery	4	7	4	At the start of each of your turns, each of your opponents who has a captive in your brig must discard the top card of his or her deck.
Megar	SE	ST2E-EN01247	C	1C247	Personnel	1					[Car]				Cardassian	Anthropology Biology Law	5	5	5	
Ocett Dogged Rival	SE	ST2E-EN01248	R	1R248	Personnel	3					[Car]	[Cmd]		Commander: Bralek. Gul. 	Cardassian	Archaeology Exobiology Navigation Officer Science Treachery	4	6	5	When you play this personnel, you may discard the top card of your deck to place any other card from your discard pile on top of your deck.
Parn	SE	ST2E-EN01249	C	1C249	Personnel	2					[Car]	[Cmd]		Legate. 	Cardassian	Archaeology Diplomacy Leadership Officer Treachery	4	6	5	
Rogesh	SE	ST2E-EN01250	C	1C250	Personnel	2					[Car]	[Stf]			Cardassian	Intelligence Navigation Physics Science Treachery	4	6	5	
Altman	SE	ST2E-EN01251	C	1C251	Personnel	1					[Fed]	[Stf] [DS9]			Human	Biology Engineer Transporters	6	5	5	
Alyssa Ogawa Enterprise Medical Assistant	SE	ST2E-EN01252	R	1R252	Personnel	2					[Fed]	[Stf] [TNG]			Human	Biology Exobiology Medical	6	5	4	When your other personnel present is about to be killed, you may stop this personnel and place a card from hand on top of your deck to place that other personnel on top of your deck.
Andrea Brand Academy Superintendent	SE	ST2E-EN01253	U	1U253	Personnel	2					[Fed]	[Cmd] [E]		Admiral. 	Human	Law 2 Leadership Navigation Officer Transporters	6	6	3	
Bandee	SE	ST2E-EN01254	C	1C254	Personnel	1					[Fed]	[DS9]			Human	Biology Medical Programming	6	5	5	
Barron	SE	ST2E-EN01255	C	1C255	Personnel	1					[Fed]	[E]			Human	Anthropology Archaeology Geology	5	5	4	
Benjamin Sisko Defiant Captain	SE	ST2E-EN01256	S	1S256	Personnel	4					[Fed]	[Cmd] [DS9]		Commander: U.S.S. Defiant. 	Human	Diplomacy Engineer Honor Leadership Navigation Officer	6	6	6	When you play this personnel, you may download a [DS9] ship.
Beverly Crusher Chief Medical Officer	SE	ST2E-EN01257	R	1R257	Personnel	3					[Fed]	[Cmd] [TNG]			Human	Biology Exobiology 2 Medical Programming	6	6	4	When your other personnel present is about to be killed, you may discard a card from hand to place that personnel on top of your deck.  You may do this only once each turn.
Daniel Kwan	SE	ST2E-EN01258	C	1C258	Personnel	1					[Fed]	[Stf] [TNG]			Human/Napean	Engineer Physics Telepathy	6	5	5	
Data Aspirer	SE	ST2E-EN01259	R	1R259	Personnel	5					[Fed]	[Cmd] [TNG]			Android	Astrometrics Engineer Exobiology Officer 2 Programming	6	10	10	When this personnel is facing a dilemma, he is Integrity +2 and gains Honor.
Davies	SE	ST2E-EN01260	C	1C260	Personnel	1					[Fed]	[Stf] [TNG]			Human	Geology Physics Science	5	6	5	
Deanna Troi Guide and Conscience	SE	ST2E-EN01261ab	R	1R261	Personnel	3					[Fed]	[Cmd] [TNG]			Betazoid/Human	Anthropology Biology Diplomacy Navigation Officer Telepathy	6	5	4	When an opponent discards, examines, or reveals a card in your hand or deck, you may draw a card. You may do this only once per turn.
Elizabeth Shelby Formidable Presence	SE	ST2E-EN01262	S	1S262	Personnel	2					[Fed]	[Cmd] [TNG]			Human	Exobiology Geology Leadership Officer Security	6	6	5	
Geordi La Forge Chief Engineer	SE	ST2E-EN01263	R	1R263	Personnel	3					[Fed]	[Cmd] [TNG]			Human	2 Engineer Leadership Physics Programming	6	6	5	Order - If this personnel is aboard your ship, discard a card from hand to remove a Damage card from that ship.  You may only do this once each turn.
Gideon Seyetik Great Terraformer	SE	ST2E-EN01264	U	1U264	Personnel	2					[Fed]	[Stf] [E]			Human	Astrometrics 2 Physics Science	5	7	4	When you complete this mission requiring Science, if this personnel is at that mission, you may discard up to four cards from hand to draw an equal number of cards.
Hoya	SE	ST2E-EN01265	C	1C265	Personnel	1					[Fed]	[Stf] [DS9]			Benzite	Astrometrics Navigation Officer	6	5	4	
Jadzia Dax Science Officer	SE	ST2E-EN01266	R	1R266	Personnel	4					[Fed]	[Stf] [DS9]		Host. 	Trill	Anthropology Archaeology Astrometrics Exobiology 2 Navigation Science	6	7	6	While this personnel is facing a dilemma, she gains Geology and Physics.
Jean-Luc Picard Argo Pilot	SE	ST2E-EN01267	R	1R267	Personnel	4					[Fed]	[Cmd] [TNG]		Commander: U.S.S. Enterprise-E. 	Human	Archaeology Diplomacy Honor Leadership Navigation Officer	8	6	6	While this personnel is facing a dilemma, you may discard a card from hand to download Escape.
Jean-Luc Picard Explorer	SE	ST2E-EN01268	S	1S268	Personnel	4					[Fed]	[Cmd] [TNG]		Commander: U.S.S. Enterprise-E. 	Human	Archaeology 2 Diplomacy Honor Leadership Officer	8	6	6	Order - Place three cards from hand on the bottom of your deck in any order to draw a card.
Julian Bashir "Frontier" Physician	SE	ST2E-EN01269	R	1R269	Personnel	4					[Fed]	[Stf] [DS9]		Genetically Enhanced. 	Human	Biology Exobiology 3 Medical	5	8	6	When your other personnel present is about to be killed, you may stop this personnel and discard a card from hand to prevent that.
Kalandra Battlefield Surgeon	SE	ST2E-EN01270	U	1U270	Personnel	2					[Fed]	[E]			Human	Biology Honor Leadership Medical	6	6	4	While your other Medical personnel at this mission is facing a dilemma, he or she is attributes +2.
Kathryn Janeway Wry Admiral	SE	ST2E-EN01271	R	1R271	Personnel	3					[Fed]	[Cmd] [E]		Admiral. 	Human	Anthropology Diplomacy Leadership Officer Physics Science	6	6	6	When you play this personnel, you may download How Would You Like a Trip to Romulus?
Leyton Chief of Starfleet Operations	SE	ST2E-EN01272	R	1R272	Personnel	3					[Fed]	[Cmd] [E]		Admiral. 	Human	Leadership Officer Security Treachery	4	6	5	When you play this personnel, you may download an [E] ship.
Lian T'su	SE	ST2E-EN01273	C	1C273	Personnel	1					[Fed]	[Stf] [TNG]			Human	Navigation Officer Transporters	6	5	4	
Lopez	SE	ST2E-EN01274	C	1C274	Personnel	1					[Fed]	[Stf] [TNG]			Human	Biology Honor Security	6	5	6	
Luther Sloan Man of Secrets	SE	ST2E-EN01275	R	1R275	Personnel	3					[Fed]	[Cmd] [E]			Human	2 Intelligence Programming 2 Security 2 Treachery	2	6	5	Order - Destroy your event and return this personnel to his owner's hand to destroy an opponent's event.
Martin	SE	ST2E-EN01276	C	1C276	Personnel	1					[Fed]	[Stf] [TNG]			Human	Exobiology Medical Programming	6	5	5	
Miles O'Brien Chief of Operations	SE	ST2E-EN01277	R	1R277	Personnel	3					[Fed]	[Stf] [DS9]			Human	2 Engineer Honor Physics Programming Transporters	7	6	5	While this personnel is facing a dilemma, he is Cunning +1 for each equipment he is equipped with (limit +3).
Mills	SE	ST2E-EN01278	C	1C278	Personnel	1					[Fed]	[Stf] [DS9]			Human	Geology Physics Security	6	5	6	
Nog Eager Cadet	SE	ST2E-EN01279	R	1R279	Personnel	2					[Fed]	[Stf] [E]		Cadet. 	Ferengi	Acquisition Engineer Honor Physics	6	5	5	When you play this personnel, you may examine the top four cards of an opponent's dilemma pile, then replace them in the same order.
Paulson	SE	ST2E-EN01280	C	1C280	Personnel	1					[Fed]	[Stf] [DS9]			Human	Astrometrics Science Transporters	6	5	4	
Rixx	SE	ST2E-EN01281	C	1C281	Personnel	1					[Fed]	[Cmd] [TNG]			Bolian	Astrometrics Leadership Officer	6	5	5	
Robin Lefler Mission Specialist	SE	ST2E-EN01282	U	1U282	Personnel	2					[Fed]	[Stf] [TNG]			Human	Engineer Exobiology Programming Transporters	6	6	5	Order - Discard the top card of your deck to beam one of your stopped personnel at this mission.
Seth Mendoza	SE	ST2E-EN01283	C	1C283	Personnel	1					[Fed]	[E]			Human	Anthropology Diplomacy Law	6	5	4	
T'Lara	SE	ST2E-EN01284	C	1C284	Personnel	2					[Fed]	[Cmd] [E]		Admiral. 	Vulcan	Exobiology Law Leadership Officer	6	7	5	
T'Lor	SE	ST2E-EN01285	C	1C285	Personnel	1					[Fed]	[Stf] [DS9]			Tiburonian	Geology Programming Science	5	5	5	
Tasha Yar Chief of Security	SE	ST2E-EN01286	R	1R286	Personnel	3					[Fed]	[Stf] [TNG]			Human	Honor Leadership Security Transporters	7	5	6	When your non-Security personnel on the same planet as this personnel is randomly selected to be killed, you may choose this personnel to be killed instead.
Van Orton	SE	ST2E-EN01287	C	1C287	Personnel	1					[Fed]	[E]			Human	Archaeology Biology Science	5	6	4	
Wesley Crusher Prodigy	SE	ST2E-EN01288	R	1R288	Personnel	3					[Fed]	[Stf] [TNG]			Human	Astrometrics Engineer Physics Programming	5	7	4	While this personnel is facing a dilemma, he gains Engineer, Exobiology, Navigation and Science.
William T. Riker Number One	SE	ST2E-EN01289	S	1S289	Personnel	2					[Fed]	[Cmd] [TNG]			Human	Diplomacy Leadership Navigation Officer	6	6	6	While this personnel is facing a dilemma, he gains Anthropology and Security.
Worf Security Detail Leader	SE	ST2E-EN01290ab	S	1S290	Personnel	4					[Fed]	[Cmd] [TNG]			Klingon	2 Honor Leadership Officer Security	8	5	8	Order - Examine a number of cards from the top of an opponent's dilemma pile equal to the number of other [Fed] Security personnel you command (limit three).  Then replace them in the same order. You may only do this once each turn.
Worf Strategic Operations Officer	SE	ST2E-EN01291	S	1S291	Personnel	4					[Fed]	[Cmd] [DS9]			Klingon	Diplomacy 2 Honor Leadership Officer	8	5	8	When an engagement involving your [Fed] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement.
B'amara	SE	ST2E-EN01292	C	1C292	Personnel	2					[Kli]	[Stf]			Klingon	Biology Honor Medical Physics Programming	6	5	6	
B'Etor Sister of Duras	SE	ST2E-EN01293	R	1R293	Personnel	2					[Kli]	[Cmd]		Smuggler. 	Klingon	Leadership Physics Science 2 Treachery	2	6	6	When you play this personnel, if you command Lursa, you may download a Treachery personnel.
Bo'rak Klingon Intelligence Agent	SE	ST2E-EN01294	R	1R294	Personnel	3					[Kli]	[Stf]			Klingon	Engineer Intelligence Physics Transporters	6	4	7	When an opponent downloads a card, that opponent must place it on top of his or her deck instead of in his or her hand.
Dokar	SE	ST2E-EN01295	C	1C295	Personnel	1					[Kli]	[Cmd]			Klingon	Biology Navigation Officer	5	4	7	
Duras Son of a Traitor	SE	ST2E-EN01296	R	1R296	Personnel	3					[Kli]	[Cmd]		High Council Member. 	Klingon	Diplomacy Law Leadership Programming 2 Treachery	2	6	7	When an opponent completes a mission, if this personnel is at that mission, you may kill one of that opponent's personnel at that mission.
Gowron Leader of the High Council	SE	ST2E-EN01297	S	1S297	Personnel	4					[Kli]	[Cmd]		Chancellor. 	Klingon	Anthropology Honor Law 2 Leadership	6	5	8	When you play this personnel, you may download an Honor Klingon.
J'Dan	SE	ST2E-EN01298	C	1C298	Personnel	1					[Kli]			Smuggler. 	Klingon	Exobiology Science Treachery	3	5	7	
K'nera Klingon Defense Force Commander	SE	ST2E-EN01299	S	1S299	Personnel	2					[Kli]	[Cmd]			Klingon	Honor Law Officer Security Transporters	6	4	7	
Kahlest GhojmoH of Worf	SE	ST2E-EN01300	S	1S300	Personnel	2					[Kli]				Klingon	Anthropology Honor Medical	7	5	3	Each of your other Honor Klingons present is Cunning +1.
Kahmis	SE	ST2E-EN01301	C	1C301	Personnel	1					[Kli]	[Stf]			Klingon	Leadership Security Transporters	6	4	7	
Kang Honored Warrior	SE	ST2E-EN01302	R	1R302	Personnel	3					[Kli]	[Cmd]		Commander: I.K.S. Lukara. 	Klingon	Honor Leadership Officer Physics Security	6	6	7	When you play this personnel, if you command Koloth or Kor, you may download a [Kli] K'Vort-class ship.
Kitrik "The Tyrant Molor"	SE	ST2E-EN01303	S	1S303	Personnel	2					[Kli]	[Stf]			Klingon	Exobiology Medical Programming Science	6	5	6	When you play this personnel, if you command a mission requiring Science, you may draw a card.
Koloth D'akturak	SE	ST2E-EN01304	R	1R304	Personnel	3					[Kli]	[Cmd]			Klingon	2 Diplomacy Exobiology Honor	7	6	7	When you play this personnel, if you command Kang or Kor, you may download an Assault card.
Kor Dahar Master	SE	ST2E-EN01305	R	1R305	Personnel	3					[Kli]	[Cmd]			Klingon	Anthropology Archaeology Honor 2 Leadership	6	6	6	When you play this personnel, you may download Jadzia Dax, Kang, or Koloth.
Koroth High Cleric of Boreth	SE	ST2E-EN01306	U	1U306	Personnel	3					[Kli]				Klingon	Anthropology Archaeology Biology Leadership Science	5	7	6	When you play this personnel, you may download Kahless.
Kroval	SE	ST2E-EN01307	C	1C307	Personnel	1					[Kli]	[Stf]			Klingon	Archaeology Geology Science	5	5	6	
Kurak Warp Field Specialist	SE	ST2E-EN01308	R	1R308	Personnel	3					[Kli]	[Stf]			Klingon	Astrometrics Physics Programming Science Transporters	4	7	6	While an opponent has not completed a mission, that opponent must discard a card from hand to use the skills on one of his or her Science personnel.
Kurn Squadron Commander	SE	ST2E-EN01309	R	1R309	Personnel	4					[Kli]	[Cmd]		Commander: I.K.S. Hegh'ta. 	Klingon	Astrometrics Diplomacy Honor Leadership Navigation Officer	6	5	7	When an engagement involving your [Kli] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement.
Lursa Sister of Duras	SE	ST2E-EN01310	R	1R310	Personnel	2					[Kli]	[Cmd]		Smuggler. 	Klingon	Engineer Geology Leadership 2 Treachery	2	6	7	When you play this personnel, if you command B'Etor, you may download a Treachery personnel.
Martok Soldier of the Empire	SE	ST2E-EN01311	R	1R311	Personnel	4					[Kli]	[Cmd]		Commander: I.K.S. Rotarran. General. High Council Member. 	Klingon	2 Honor 2 Leadership Navigation Officer	8	6	8	Each of your [Kli] ships at this mission is Weapons +1.
Meraht	SE	ST2E-EN01312	C	1C312	Personnel	2					[Kli]				Klingon	Anthropology Exobiology Honor Intelligence Transporters	6	5	6	
Morka Klingon Intelligence Agent	SE	ST2E-EN01313	R	1R313	Personnel	3					[Kli]	[Cmd]			Klingon	Astrometrics Geology Intelligence Officer	6	5	7	When an opponent is about to place a card on top of his or her deck, you may discard a card from hand to place that opponent's card on the bottom of his or her deck instead.
Nu'Daq Tenacious Rival	SE	ST2E-EN01314	R	1R314	Personnel	3					[Kli]	[Cmd]		Commander: I.K.S. Maht-H'a. 	Klingon	Archaeology Exobiology Leadership Navigation Officer Treachery	4	6	7	When you play this personnel, you may discard a card from hand to take a card from your discard pile into hand.
T'vis	SE	ST2E-EN01315	C	1C315	Personnel	2					[Kli]	[Stf]			Klingon	Diplomacy Honor Law Security	6	5	7	
Vorax	SE	ST2E-EN01316	C	1C316	Personnel	2					[Kli]	[Stf]			Klingon	Astrometrics Engineer Geology Programming	6	5	7	
Acost Jared	SE	ST2E-EN01317	C	1C317	Personnel	1					[NA]				Ventaxian	Anthropology Law Leadership	5	5	5	
Altovar Vindictive Criminal	SE	ST2E-EN01318ab	R	1R318	Personnel	2					[NA]	[Stf]		Thief. 	Lethean	Exobiology Medical Telepathy 2 Treachery	2	5	6	Order - Return this personnel to his owner's hand to return an opponent's Medical personnel present to his or her owner's hand.
Berild	SE	ST2E-EN01319	C	1C319	Personnel	2					[NA]	[Cmd]			Solari	Archaeology Law Leadership Officer	5	5	7	
Bhavani	SE	ST2E-EN01320	C	1C320	Personnel	2					[NA]				Barzan	Diplomacy Honor Law Leadership Physics	6	5	4	
Brull Encampment Leader	SE	ST2E-EN01321	U	1U321	Personnel	2					[NA]	[Cmd]		Gatherer. Thief. 	Acamarian	Astrometrics Diplomacy Honor Leadership Navigation	6	5	6	
Chorgan Leader of the Gatherers	SE	ST2E-EN01322	U	1U322	Personnel	2					[NA]	[Cmd]		Gatherer. Thief. 	Acamarian	Law Leadership Physics Transporters	4	5	6	While this personnel is facing a dilemma, if another Gatherer is present, this personnel is attributes +1 and gains Diplomacy and Leadership.
Dallan	SE	ST2E-EN01323	C	1C323	Personnel	1					[NA]	[Stf]		Gatherer. Thief. 	Acamarian	Medical Navigation Physics	4	4	6	
Dathon Speaker of Tama	SE	ST2E-EN01324	R	1R324	Personnel	4					[NA]	[Cmd]		Commander: Tama. 	Tamarian	2 Diplomacy 2 Honor Leadership Officer	8	6	6	While your other Diplomacy personnel is present, you may meet Strength requirements of each dilemma this personnel faces using Integrity instead.
Durg	SE	ST2E-EN01325	C	1C325	Personnel	2					[NA]	[Stf]		Smuggler. 	Markalian	Acquisition Exobiology Medical Navigation Treachery	3	5	7	
Etana Jol Ktarian Operative	SE	ST2E-EN01326	U	1U326	Personnel	3					[NA]	[Cmd]			Ktarian	2 Exobiology Medical Programming Science Treachery	3	6	4	Order - If this personnel is aboard your ship, discard a personnel or ship from hand that matches her ship's affiliation to draw a card.  You may do this only once each turn.
Galnar	SE	ST2E-EN01327	C	1C327	Personnel	1					[NA]	[Stf]		Gatherer. Thief. 	Acamarian	Navigation Programming Science	4	4	5	
Grathon Tolar Hologram Forger	SE	ST2E-EN01328	U	1U328	Personnel	2					[NA]				Alien	Engineer Exobiology 2 Programming 2 Treachery	2	7	3	
Grenis	SE	ST2E-EN01329	C	1C329	Personnel	1					[NA]	[Cmd]			Solari	Geology Leadership Officer	6	5	6	
Inad	SE	ST2E-EN01330	C	1C330	Personnel	2					[NA]				Ullian	Anthropology Biology Exobiology Honor Telepathy	7	5	3	
Jo'Bril Patient Schemer	SE	ST2E-EN01331	R	1R331	Personnel	4					[NA]	[Cmd]		Assassin. Thief. 	Takaran	Astrometrics Navigation Physics 2 Science 2 Treachery	2	6	6	When this personnel is about to be killed by a dilemma, place him on top of his owner's deck instead.
Kamala The Perfect Mate	SE	ST2E-EN01332	R	1R332	Personnel	3					[NA]				Kriosian	2 Anthropology Archaeology Diplomacy Telepathy	6	6	4	Order - This personnel gains one skill from another personnel present.  She keeps this skill until the start of your next turn.  You may do this only once each turn.
Kolos	SE	ST2E-EN01333	C	1C333	Personnel	1					[NA]	[Cmd]			Alien	Acquisition Navigation Transporters	4	5	6	
Leyor	SE	ST2E-EN01334	C	1C334	Personnel	1					[NA]				Caldonian	Astrometrics Diplomacy Science	5	5	6	
Marouk Sovereign of Acamar	SE	ST2E-EN01335	U	1U335	Personnel	1					[NA]				Acamarian	Diplomacy Law 2 Leadership	6	5	3	While a Gatherer is at this mission, he gains Geology and loses Thief.
Marshor	SE	ST2E-EN01336	C	1C336	Personnel	1					[NA]	[Stf]			Idanian	Honor Intelligence Security	6	5	5	
Morn Barfly	SE	ST2E-EN01337	R	1R337	Personnel	3					[NA]	[Cmd]		Smuggler. Thief. 	Lurian	Acquisition Biology Engineer Navigation	4	7	5	At the start of each of your turns, if this personnel and your other Smuggler or Thief are at Mouth of the Wormhole, you may draw a card.
Nel Apgar Temperamental Researcher	SE	ST2E-EN01338	U	1U338	Personnel	2					[NA]				Tanugan	2 Physics Science Treachery	3	7	3	When you play this personnel, you may draw three cards, then place three cards from hand on the bottom of your deck in any order.
Pran Tainer Atrean Seismologist	SE	ST2E-EN01339	C	1C339	Personnel	2					[NA]				Atrean	2 Geology Physics Programming Science	5	7	3	
Rabal	SE	ST2E-EN01340	C	1C340	Personnel	2					[NA]	[Stf]			Hekaran	Astrometrics Engineer Physics Programming Transporters	4	6	5	
Regana Tosh	SE	ST2E-EN01341	C	1C341	Personnel	1					[NA]	[Cmd]		Smuggler. 	Markalian	Acquisition Geology Science Treachery	3	5	5	
Retaya Urbane Poisoner	SE	ST2E-EN01342	R	1R342	Personnel	3					[NA]	[Stf]		Assassin. 	Flaxian	2 Biology Physics Science 2 Treachery	2	6	5	Order - Return this personnel to his owner's hand to kill an opponent's Intelligence personnel present.
Riva Respected Mediator	SE	ST2E-EN01343	U	1U343	Personnel	1					[NA]				Ramatin	2 Diplomacy Honor	6	5	4	When you play this personnel, each player may draw a card.
Serova Warp Field Theorist	SE	ST2E-EN01344	R	1R344	Personnel	3					[NA]	[Stf]			Hekaran	2 Astrometrics 2 Engineer Physics Science	4	7	4	While this personnel is facing a dilemma, each of your other Engineer personnel present is Cunning +1.
Soto	SE	ST2E-EN01345	C	1C345	Personnel	1					[NA]	[Stf]		Thief. 	Lethean	Security Telepathy Treachery	4	5	6	
Sunad	SE	ST2E-EN01346	C	1C346	Personnel	2					[NA]	[Cmd]			Zalkonian	Law Leadership Officer Physics Security	4	5	4	
Temarek	SE	ST2E-EN01347	C	1C347	Personnel	1					[NA]	[Stf]		Gatherer. Thief. 	Acamarian	Biology Geology Security	4	5	5	
The Albino Killer of Children	SE	ST2E-EN01348	R	1R348	Personnel	3					[NA]	[Cmd]		Assassin. Thief. 	Alien	Exobiology Leadership 2 Medical 2 Treachery	2	6	6	Order - Return this personnel to his owner's hand to kill an opponent's Honor personnel present.
