Name	Set	ImageFile	Rarity	Unique	Printable	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Slightly Overbooked	RTS	STVE-EN17011	V	N	Y	17V011	Dilemma	6	S														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Unless you have three personnel who each have a cost of 4 or more, each of your personnel who has a cost of 2 or less is stopped.
Spatial Interphase	RTS	STVE-EN17012	V	N	Y	17V012	Dilemma	6	D														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Your opponent chooses a personnel who has three or less [SD] icons to be killed.
Technique of a Desperate Man	RTS	STVE-EN17014	V	N	Y	17V014	Dilemma	1	D														Unless you have Anthropology and 2 Officer or two Temporal events in your core, place this dilemma in your core. When one of your personnel begins a mission attempt, this dilemma's owner may remove this dilemma from the game to place a dilemma beneath one of your completed missions on the top of his or her dilemma pile.
Unfair Terms	RTS	STVE-EN17015	V	N	Y	17V015	Dilemma	6	P														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Randomly select three personnel. Each of those personnel who has a cost of 2 or less is killed.
Well-Prepared Defenses	RTS	STVE-EN17017	V	N	Y	17V017	Dilemma	2	D														Unless the missions you command are worth more total points than the total points of of missions your opponent commands, your opponent chooses a personnel to be stopped.
You Vant to Go Back?	RTS	STVE-EN17018	V	N	Y	17V018	Dilemma	0	D														This dilemma is cost +3. Reveal the top card of your deck. Unless the cost of that card is odd, your opponent chooses a personnel to be returned to his or her owner's hand.
Self-Sealing Stem Bolts	RTS	STVE-EN17020	V	N	Y	17V020	Equipment	2															Order - If you own this equipment, you may choose an opponent. Place this equipment aboard one of his or her ships (he or she now commands this equipment) to make him or her place an equipment he or she commands and owns on one of your ships (you now command that equipment).
B'aht Qul Challenge	RTS	STVE-EN17022	V	N	Y	17V022	Event	0															To play this event, you must command a completed mission and an Anthropology Klingon. Each player randomly removes a number of cards in his or her discard pile from the game equal to the number of missions worth 40 or more points he or she commands. The player that removes the cards with the highest total cost scores 10 points. (In the case of a tie, each tied player scores.) Destroy this event.
Delirium	RTS	STVE-EN17025	V	N	Y	17V025	Event	3															Plays in your core. When the opponent on your right's personnel begin a mission attempt at a mission worth 35 or less points, you may draw one extra dilemma and spend one extra in total cost on dilemmas.
Duranja	RTS	STVE-EN17026	V	Y	Y	17V026	Event	5															To play this event, you must command six [Baj] Anthropology personnel. Plays in your core. At the end of each of your turns, you make take a card from your discard pile and place it on top of your deck.
Greed	RTS	STVE-EN17030	V	N	Y	17V030	Event	0															To play this event, you must command a personnel with 2 Treachery. Discard a card from hand to draw a card for each dilemma you own that is in an opponent's core. Destroy this event.
Imperfect Replacement	RTS	STVE-EN17031	V	N	Y	17V031	Event	1															Plays in your core. While you command a personnel you do not own, the player who owns that personnel cannnot play a personnel with the same card title.
Jem'Hadar Entrenchment	RTS	STVE-EN17032	V	N	Y	17V032	Event	3															To play this event, you must command three Jem'Hadar. Plays on a mission worth 35 points or less (limit one per mission). Add 2 Leadership to each of this mission's requirements.
Leverage	RTS	STVE-EN17033	V	N	Y	17V033	Event	2															Plays in your core. When a personnel is about to be killed by a dilemma, the player who commands that personnel may choose an opponent and place that personnel in that opponent's brig instead.
Parting Thought	RTS	STVE-EN17035	V	N	Y	17V035	Event	3								Q. 							Plays on a mission. When your dilemma is revealed at this mission, you may discard a card from hand to add one level of one skill that is in that dilemma's requirements to that requirement until the end of that dilemma.
Bridge Officer's Test	RTS	STVE-EN17040	V	N	Y	17V040	Interrupt	0															When your personnel with 2 Leadership is facing a dilemma and that dilemma is about to stop all of your personnel, the opponent on your left chooses a personnel present. Kill that personnel to prevent and overcome that dilemma.
Posturing	RTS	STVE-EN17043	V	N	Y	17V043	Interrupt	0															To play this interrupt, you must command three [Rom] personnel. When your personnel is attempting a mission, choose an opponent and remove the top card of his or her deck from the game to add the cost of that card to that personnel's attributes until the end of the mission attempt.
Rebuilding the Fleet	RTS	STVE-EN17044ab	V	N	Y	17V044	Interrupt	0															To play this interrupt, you must command a personnel with 2 Engineer or a personnel with 2 Medical. Order - Each player counts the number of ships costs 6 or more in his or her discard pile. Then each player shuffles each personnel and ship from his or her discard pile into his or her deck and draws cards equal to the number of ships counted (limit 6).
Honor the Fallen	RTS	STVE-EN17047	V	Y	Y	17V047	Mission	0	S	3	40	A	[Baj] [Fed] [Fer] [Kli] [NA]						Engineer, 2 Honor, Medical, Officer, and Integrity>38				When your personnel complete this mission, you may remove a personnel in your discard pile from the game to restore all Range to each of your ships.
Obtain Illegal Embryos	RTS	STVE-EN17048	V	Y	Y	17V048	Mission	0	S	3	40	A	[NA] [SF]						Biology, Exobiology, Medical, Security, Treachery, and Cunning>40				When your Medical personnel is about to be stopped by a dilemma at this mission, you may kill him or her instead to download a Genetically Enhanced personnel.
Reestablish Neural Cooperative	RTS	STVE-EN17050	V	Y	Y	17V050	Mission	0	P	2	40	D	[Bor] [Fed] [NA]			Region: Nekrit Expanse. 			2 Anthropology, Biology, Exobiology, Security, and Cunning>38				When your personnel complete this mission, you may take up to three Borg personnel from your discard pile and place them on the bottom of your deck in any order.
Seek Savior	RTS	STVE-EN17051	V	Y	Y	17V051	Mission	0	S	3	40	D	[Fed] [Kli] [NA]						Anthropology, Biology, Honor, Law, and Integrity>40				At the start of each of your turns, if this is your first turn, name a personnel. When your personnel complete this mission, if an opponent commands that personnel, score 10 points.
Scrutiny Drone	RTS	STVE-EN17054	V	N	Y	17V054	Personnel	3					Borg	[Stf]		Drone. 		Borg	Anthropology Programming Science	5	5	5	When you play this personnel, choose an opponent. You may draw a card for each non-headquarters mission worth 35 points or less he or she commands.
Madred Persistent Inquisitor	RTS	STVE-EN17055	V	Y	Y	17V055	Personnel	3					Cardassian	[Cmd]		Gul. 		Cardassian	Exobiology Medical Officer 2 Treachery	2	6	5	Order - Choose an opponent. That opponent guesses how many cards that have a cost of 4 or more are in your hand. Reveal your hand. If that opponent is correct, kill this personnel. Otherwise, he is attributes +3 until the end of the turn.
Dikut'ukan	RTS	STVE-EN17058	V	N	Y	17V058	Personnel	1					Dominion	[Stf]				Jem'Hadar		5	4	7	While this personnel is facing a dilemma, he may gain Security and a skill from a Changeling present until the end of the mission attempt. You may do this only once each turn.
Karl Jaeger	RTS	STVE-EN17061	V	N	Y	17V061	Personnel	2					Federation	[Stf][TOS][Pa]				Human	Archaeology Geology Honor Physics Science	6	6	6	You may play this personnel at cost +2 to examine and remove four cards in a player's discard pile from the game.
Nagata	RTS	STVE-EN17063	V	N	Y	17V063	Personnel	2					Federation	[Stf][TOS][Pa]				Human	Astrometrics Engineer Physics Programming Transporters	6	5	6	You may play this personnel at cost +1 to draw three cards for each headquarters the opponent on your left commands, then place three cards from hand on the bottom of your deck.
Nilva Lascivious Chairman	RTS	STVE-EN17067	V	Y	Y	17V067	Personnel	2					Ferengi					Ferengi	Acquisition Biology Diplomacy Law Leadership	5	6	4	When your personnel present complete this mission, if it is worth 40 or more points, you may take up to three cards from your discard pile and place them beneath your Ferenginar.
Kohlar Pilgrim Commander	RTS	STVE-EN17070	V	Y	Y	17V070	Personnel	4					Klingon	[Cmd]		Commander: I.K.S. Voq'leng. 		Klingon	Astrometrics Diplomacy Honor Leadership Officer	6	5	7	While this personnel is attempting a [DQ] mission, each of your Klingon personnel present is attributes +1.
Morak Pilgrim Cynic	RTS	STVE-EN17071	V	Y	Y	17V071	Personnel	2					Klingon	[Stf]				Klingon	Astrometrics Physics Science	4	5	7	While this personnel is facing a dilemma at a [DQ] mission, he gains Security, Transporters, and Treachery.
T'Greth Pilgrim Contender	RTS	STVE-EN17072	V	Y	Y	17V072	Personnel	3					Klingon	[Cmd]				Klingon	Biology Engineer Exobiology Geology Navigation	5	5	7	While this personnel is eligible for a random selection at a [DQ] mission, you may destroy your Assault event to exclude one of your Klingon personnel present from that selection.
Delvok	RTS	STVE-EN17073	V	N	Y	17V073	Personnel	2					Non-Aligned	[Stf][Pa]		Dissident. 		Vulcan	Astrometrics Biology Honor Medical Security	6	6	6	
Ptol	RTS	STVE-EN17077	V	N	Y	17V077	Personnel	5					Romulan	[Stf][Pa]				Romulan	Archaeology Biology Engineer Geology Officer Programming Security	4	6	6	When you play this personnel, reveal four cards from the top of an opponent's dilemma pile. This personnel is cost -1 for each dual dilemma revealed. Then replace them in the same order.
Upexi	RTS	STVE-EN17079	V	N	Y	17V079	Personnel	1					Romulan	[Stf]				Reman	Exobiology Programming Security	4	6	6	When a random selection is made, if this personnel is facing a dilemma at a mission worth 40 or more points, you may stop this personnel to ignore its results and select again.
Nathan Samuels Earth Minister	RTS	STVE-EN17081	V	Y	Y	17V081	Personnel	5					Starfleet	[Pa]				Human	Diplomacy Law Leadership	5	6	5	When you play a non-Human [SF] personnel at your Earth, if you command two missions worth 40 or more points, that personnel is cost -2.
Assimilated Transport	RTS	STVE-EN17082	V	Y	Y	17V082	Ship	4					Borg	[Pa]	[Stf][Stf]		Transport Class			5	4	4	Order - Kill six personnel you command but do not own aboard this ship to place the top three dilemmas of the opponent on your left's dilemma pile beneath this mission. You may do this only if the ship is at one of your non-headquarters missions.
U.S.S. Bellerophon Conference Host	RTS	STVE-EN17085	V	Y	Y	17V085	Ship	7					Federation	[DS9]	[Cmd][Cmd][Stf][Stf]		Intrepid Class			9	9	8	When you play this ship, you may place a [DS9] Diplomacy personnel from your hand aboard this ship.
I.K.S. Voq'leng Ship of Prophecy	RTS	STVE-EN17086	V	Y	Y	17V086	Ship	5					Klingon		[Cmd][Cmd]	Cloaking Device. 	D-7 Class			8	7	6	While you command Qo'noS and no other [AQ] missions, you may play this ship at your [DQ] mission. While this ship is at a [DQ] mission, you may play [Kli] personnel and equipment aboard this ship.
Orion Interceptor	RTS	STVE-EN17087	V	N	Y	17V087	Ship	6					Non-Aligned	[Pa]	[Stf][Stf][Stf]		Interceptor Class			6	6	6	While you command another ship that has a cost of 6 or more, this ship is Range +2. While this ship is at a [NA] mission or a mission worth 40 or more points, it is Weapons +4 and Shields +4.
U.S.S. Dauntless False Hope	RTS	STVE-EN17088	V	Y	Y	17V088	Ship	6					Non-Aligned		[Cmd][Cmd][Stf][Stf]		Dauntless Class			9	7	7	To play this ship, you must command three personnel of the same affiliation. When you are about to play this ship, it becomes that affiliation. Order - Discard a card from hand to download Quantum Slipstream Drive. You may do this only once each turn.
Bird-of-Prey	RTS	STVE-EN17089	V	N	Y	17V089	Ship	4					Romulan	[Pa]	[Cmd][Cmd]	Cloaking Device. 	Bird-of-Prey Class			7	6	6	This ship is Range +1 for each [Rom] personnel aboard who has a cost of 4 or more. This ship is Weapons +1 and Shields +1 for each [Pa][Rom] personnel aboard.
Emergency Transport Unit *VP	VP	STVP-EN008	VP	N	Y	0VP008	Equipment	2															When your personnel present is about to be killed, you may return this equipment to its owner's hand to place that personnel on your ship at this mission instead.  He or she is stopped.
Hard Time *VP	VP	STVP-EN009	VP	N	Y	0VP009	Dilemma	3	D														Place this dilemma in your core.  Randomly select a personnel and place him or her on this dilemma.  At the start of your next turn, remove this dilemma from the game and return the personnel on it to his or her owner's hand.
Miner Revolt *VP	VP	STVP-EN010	VP	N	Y	0VP010	Dilemma	3	P														Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
William Ross "Temporary" Ally *VP	VP	STVP-EN011	VP	Y	Y	0VP011	Personnel	4					Federation	[Cmd][DS9]		Admiral. Commander: U.S.S. Bellerophon. 		Human	Astrometrics Diplomacy Law Leadership Navigation Officer Science Security	5	6	6	When you play this personnel, if you have completed a mission requiring Diplomacy or Officer, he is cost -4. While facing a dilemma, this personnel gains Intelligence and Treachery.
Worf Chief of Security	VP	STVP-EN012	VP	Y	Y	0VP012	Personnel	4					Federation	[Stf][TNG]				Klingon	Anthropology 2 Honor Officer Security	8	5	8	When your [TNG] personnel present is about to be stopped by a dilemma, you may stop this personnel instead.
In a Mirror, Darkly *VP	VP	STVP-EN013	VP	N	Y	0VP013	Event	0															Lose 5 points to shuffle each personnel and ship you own in your discard pile into your deck and then draw cards until you have seven cards in hand. Remove this event and all the other cards in your discard pile from the game.
Engage Cloak *VP	VP	STVP-EN014	VP	N	Y	0VP014	Event	2															Plays in your core.  You may exectue only one order using this event each turn.  Order - If there is no ship on this event, place your staffed ship that has a Cloaking Device on this event (While a ship is here, this event cannot leave play.)  Order - If a ship is on this event, place that ship at any mission.  That ship's Range for this turn is used.
Unexpected Difficulties *VP	VP	STVP-EN015	VP	N	Y	0VP015	Event	0															Plays in your core.  When you have drawn dilemmas, you may destroy this event to return them to your dilemma pile and draw an equal number of dilemmas.
U.S.S. Voyager Home Away From Home *VP	VP	STVP-EN016	VP	Y	Y	0VP016	Ship	6					Federation	[Voy]	[Cmd][Cmd][Stf][Stf]		Intrepid Class			9	9	8	While you do not command a headquarters mission, you may play this ship at Caretaker's Array. While this ship is at a [DQ] mission, you may play [Voy] personnel, [NA] personnel, and equipment aboard this ship. When you play this ship, you may place up to two [Voy] personnel from your hand aboard this ship.
U.S.S. Enterprise Earth's Savior *VP	VP	STVP-EN017	VP	Y	Y	0VP017	Ship	5					Federation	[TOS][Pa]	[Cmd][Stf]		Constitution Class			8	7	7	While you command a [TOS] personnel, you may play this ship at your Earth. When this ship is about to move between Earth and another mission, subtract 1 from the Range required.
Queen's Borg Sphere Contingency Vessel *VP	VP	STVP-EN018	VP	Y	Y	0VP018	Ship	6					Borg		[Stf][Stf][Stf][Stf]		Sphere			9	10	9	While this ship is at a [Bor] mission, personnel aboard it are attributes +1. While your Borg Queen is aboard this ship, it is staffed.
Its Thinking is Chaotic	TOSP	STVE-EN18001	V	N	Y	18V001	Dilemma	0	D														Place this dilemma on this mission. Randomly select a personnel. That personnel and each copy of that personnel loses all skills and abilities and gains the following ability: "When this personnel is an eligible target for a random selection, you may choose this personnel instead." These effects last until the end of the mission attempt. At the end of this mission attempt, this dilemma is overcome.
Old Feelings	TOSP	STVE-EN18017	V	N	Y	18V017	Interrupt	0															Order - Stop two of your personnel to choose one: remove a dilemma that has no cards on it in your core from the game; or take a personnel from your discard pile and place him or her on the bottom of his or her owner's deck.
Warm Welcome	TOSP	STVE-EN18010	V	N	Y	18V010	Dilemma	0	D														If you have six or more personnel attempting this mission, this dilemma is cost +3. Unless you have 3 [Cmd] personnel or 2 Officer, choose a personnel to be placed on the bottom of his or her owner's deck and this dilemma returns to its owner's dilemma pile.
Arandis Risan Facilitator	TOSP	STVE-EN18036	V	Y	Y	18V036	Personnel	4					Non-Aligned					Risan	2 Anthropology Diplomacy Geology Leadership	6	5	4	When you play this personnel, each player may download a card.
A Royal Welcome	TOSP	STVE-EN18016	V	N	Y	18V016	Interrupt	0															Order - Destroy your event that has a cost of 3 or more to make your opponent name a skill (except Acquisition, Intelligence, Law, or Telepathy). You may download a personnel who has that skill and place him or her at your headquarters mission where that personnel could be played. That personnel is attributes +1 until the end of this turn.
Ba'el Naive Prisoner	TOSP	STVE-EN18041	V	Y	Y	18V041	Personnel	2					Romulan					Klingon/Romulan	Exobiology Geology Honor Science	6	5	5	When this personnel is randomly selected by a dilemma, that dilemma's owner must discard a card at random from his or her hand.
Kalenna Sentry	TOSP	STVE-EN18042	V	Y	Y	18V042	Personnel	2					Romulan	[Stf]				Romulan	Anthropology Biology Intelligence Security	4	6	6	When this personnel begins a mission attempt, you may discard an event from hand to name up to two unique personnel. While each of those personnel is not [NA], he or she cannot be randomly selected by dilemmas. This effect lasts until the end of this mission attempt.
Lending a Hand	TOSP	STVE-EN18002	V	N	Y	18V002	Dilemma	2	P														Your opponent chooses two personnel to be stopped. Choose a personnel from your hand that you do not command who has a cost less than the total cost of those two personnel. You may place that personnel on this planet mission and have him or her join this mission attempt.
Losira	TOSP	STVE-EN18003	V	N	Y	18V003	Dilemma	3	D														Your opponent names a personnel. Randomly select three personnel. Each named personnel selected is killed.
Parallel Romance	TOSP	STVE-EN18004	V	N	Y	18V004	Dilemma	2	D														Randomly select two personnel to be stopped. For each personnel stopped by this dilemma, each of your personnel is attributes +1 until the end of this mission attempt.
Polywater Intoxication	TOSP	STVE-EN18005	V	N	Y	18V005	Dilemma	0	D														If you have six or more personnel attempting this mission, this dilemma is cost +3. Choose a personnel to be stopped and this dilemma returns to its owner's dilemma pile.
The Captain's "Guest"	TOSP	STVE-EN18006	V	N	Y	18V006	Dilemma	2	D														Your opponent names a keyword. Randomly select three personnel. If any of those personnel has that keyword, they are all stopped. Otherwise, choose one of those personnel to be stopped.
The Charismatic Mister Kor	TOSP	STVE-EN18007	V	N	Y	18V007	Dilemma	7	D														For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck.
The Charming Mister Riker	TOSP	STVE-EN18008	V	N	Y	18V008	Dilemma	6	S														For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck.
The Gentleman Doctor McCoy	TOSP	STVE-EN18009	V	N	Y	18V009	Dilemma	6	P														For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck.
Watch Your Step	TOSP	STVE-EN18011	V	N	Y	18V011	Dilemma	0	D														Unless you have Leadership, Security, and Cunning>34, or Telepathy and 2 Treachery, or 3 Honor, place this dilemma in your core. When you are about to draw a card, this dilemma's owner may remove this dilemma from the game to make you draw three cards instead and he or she examines those cards and chooses two of them to be discarded.
Deal With the Count Man	TOSP	STVE-EN18012	V	N	Y	18V012	Event	3								Decay: 3. 							To play this event, you must command a Thief. Plays in your core. Name a personnel. At the start of each Execute Orders segment, each personnel who has that card title cannot use abilities, attributes, and skills until the end of each turn. At the start of each of your turns, place the top card of your deck on this event.
Mudd's Women	TOSP	STVE-EN18013	V	Y	Y	18V013	Event	2															Plays in your core. When an opponent's dilemma is revealed, you may discard a card from hand to name a personnel. When that named personnel is randomly selected by that dilemma, you may place the top card of your deck on this event. At the start of each of your turns, you may take a card from this event to your hand to spend two additional counters this turn.
Raise the Stakes	TOSP	STVE-EN18014	V	N	Y	18V014	Event	4															Plays in your core. Each of your opponent's personnel are attributes +1. Each of your missions are worth 5 more points. When you are about to lose command of this event, remove it from the game instead.
A Q Scorned	TOSP	STVE-EN18015	V	N	Y	18V015	Interrupt	0								Q. 							When a personnel that the player on your right commands begins a mission attempt, destroy your event to shuffle your dilemma pile and the opponent on your right chooses one: you may draw four extra dilemmas; or you may spend two extra on dilemmas.
Track Survivors	TOSP	STVE-EN18018	V	Y	Y	18V018	Mission	0	P	2	35	A	[Baj] [Fed] [Fer] [NA]						Engineer, Geology, Science, Transporters, and Cunning>32 or Diplomacy, Honor, Law, Leadership, and Integrity>30				When your personnel complete this mission, if none of them have an attribute >6, score 5 points.
Chalan Aroya Accessible Restaurateur	TOSP	STVE-EN18019	V	Y	Y	18V019	Personnel	2					Bajoran	[DS9]				Bajoran	Biology Honor Science Transporters	6	5	4	When this personnel is randomly selected by a dilemma, you may take a card from your discard pile into hand.
Neela Misguided Activist	TOSP	STVE-EN18020	V	Y	Y	18V020	Personnel	2					Bajoran	[Stf][DS9]		Assassin. 		Bajoran	Engineer Programming Treachery	2	6	5	Order - Remove a personnel in your discard pile from the game and return this personnel to her owner's hand to kill an opponent's personnel present who has a skill the removed personnel has.
Seven of Nine Prodigal Daughter	TOSP	STVE-EN18021a	V	Y	Y	18V021	Personnel	4					Borg	[Stf]				Borg	Astrometrics Engineer Exobiology Programming Science Treachery	4	7	6	When a card your opponent owns is about to prevent your interrupt, you may give command of this personnel to an opponent to ignore that effect. If you do, choose a ship commanded by that opponent and place this personnel aboard that ship.
Korinas Observer from the Obsidian Order	TOSP	STVE-EN18022	V	Y	Y	18V022	Personnel	4					Cardassian	[Cmd]				Cardassian	Intelligence Leadership Officer Security Treachery	3	6	5	While this personnel is facing a dilemma, she and each [Car] Intelligence personnel present adds his or her Cunning to his Integrity.
Luaran Critical Coordinator	TOSP	STVE-EN18023	V	Y	Y	18V023	Personnel	3					Dominion	[Cmd]				Vorta	Engineer Navigation Physics Treachery	4	6	3	When you play this personnel, you may draw a card for each staffing requirement icon on your staffed [Dom] ship.
Alynna Nechayev Adamant Admiral	TOSP	STVE-EN18024	V	Y	Y	18V024	Personnel	3					Federation	[Cmd][E]		Admiral. 		Human	Diplomacy Law Leadership Officer Science Security	6	6	5	Order - Discard a [Fed] personnel that you do not command from hand. This personnel gains an order ability from that personnel until the end of this turn. You may do this only once each turn.
Jenna D'Sora Veteran Security Officer	TOSP	STVE-EN18025	V	Y	Y	18V025	Personnel	2					Federation	[Stf][TNG]				Human	Astrometrics Engineer Exobiology Security	5	5	6	When this personnel begins a mission attempt, you may name a personnel. If that personnel is chosen or selected by a dilemma during this mission attempt, he or she is attributes +2 and gains Anthropology until the end of that dilemma.
Melora Pazlar Independent Personality	TOSP	STVE-EN18026	V	Y	Y	18V026	Personnel	2					Federation	[Stf][DS9]				Elaysian	Astrometrics Navigation Programming Science	6	6	2	While this personnel is facing a dilemma, you may lose 5 points to choose one: make her gain two different skills on a personnel present; or make her gain an attribute on a personnel present. This effect lasts until the end of this turn. You may do this only once each turn.
Naomi Wildman Astrometrics Officer	TOSP	STVE-EN18027	V	Y	Y	18V027	Personnel	2					Federation	[Stf][Voy][Fut]				Human/Ktarian	Astrometrics Engineer Honor Science	6	6	5	While this personnel is facing a dilemma, you may destroy your Temporal event that has a cost greater than or equal to the cost of that dilemma to make each random selection made by that dilemma your choice instead.
Nella Daren Head of Stellar Cartography	TOSP	STVE-EN18028	V	Y	Y	18V028	Personnel	2					Federation	[Stf][TNG]				Human	2 Astrometrics Honor Science	6	6	5	When a personnel present is randomly selected to be killed, you may destroy an equipment this personnel is equipped with to stop that personnel instead.
Number One Reputable Officer	TOSP	STVE-EN18029	V	Y	Y	18V029	Personnel	2					Federation	[Cmd][TOS][Pa]				Human	Astrometrics Diplomacy Navigation Officer Science	6	6	6	You may play this personnel at cost +2 to choose up to three of your personnel in your opponents' brigs and place them at your headquarters mission.
Valeris Co-Conspirator	TOSP	STVE-EN18030	V	Y	Y	18V030	Personnel	5					Federation	[Stf][TOS][Pa][E]		Assassin. 		Vulcan	Navigation Officer Science Treachery	3	7	6	When you play this personnel, if you command three Treachery personnel, name a non-ship card. Each opponent searches his or her deck, places the named card in his or her discard pile, and shuffles and replaces his or her deck.
Watley Recent Transfer	TOSP	STVE-EN18031	V	Y	Y	18V031	Personnel	1					Federation	[Stf][TOS][Pa]				Human	Honor Medical Science	6	5	5	You may play this personnel at cost +3 to name a personnel. Each opponent must choose a personnel he or she commands who has that title and return him or her to his or her owner's hand.
Marta Delusional Seductress	TOSP	STVE-EN18038	V	Y	Y	18V038	Personnel	2					Non-Aligned	[Pa]		Thief. 		Orion	Acquisition Anthropology Medical	4	5	5	When your Leadership personnel present is randomly selected by a dilemma, you may destroy one of your events to ignore its results and select again.
Leeta Devoted Wife	TOSP	STVE-EN18032	V	Y	Y	18V032	Personnel	1					Ferengi	[Stf][DS9]				Bajoran	Anthropology Honor	6	5	4	When this personnel is randomly selected by a dilemma, if you command Ferenginar, download a card and place it beneath your Ferenginar.
Quark Lumba	TOSP	STVE-EN18033	V	Y	Y	18V033	Personnel	4					Ferengi	[DS9]				Ferengi	Anthropology Diplomacy Honor Programming	6	6	4	When you play this personnel, you may download a card and place it beneath your Ferenginar. When your Rule is about to be destroyed by a card an opponent owns, you may destroy your Rule instead.
M'Pella Seductive Employee	TOSP	STVE-EN18037	V	Y	Y	18V037	Personnel	2					Non-aligned					Alien	Acquisition Anthropology Exobiology	6	5	4	When this personnel is randomly selected by a dilemma, reveal the top card of your deck. If the cost of the revealed card matches the cost of that dilemma, it is prevented and overcome.
Ch'Regha Open-Minded	TOSP	STVE-EN18034	V	Y	Y	18V034	Personnel	2					Klingon	[Stf]				Klingon	Archaeology Exobiology Honor Medical	6	5	6	Order - Stop this personnel aboard your [Kli] ship at a [DQ] mission to place a Klingon at your Qo'noS aboard this ship.
Anastasia Komananov Russian Seductress	TOSP	STVE-EN18035	V	Y	Y	18V035	Personnel	3					Non-Aligned			Assassin. Infiltrator. 		Hologram	Diplomacy Intelligence Officer 2 Physics	6	6	5	When you play this personnel, you may take a Hologram from your discard pile into hand. When this personnel is killed by a dilemma, each player kills each copy of Kira Nerys that he or she commands.
Rayna Kapec Developing Android	TOSP	STVE-EN18039	V	Y	Y	18V039	Personnel	4					Non-Aligned	[Pa]				Android	Biology Engineer Medical Physics Programming Science	6	5	5	When your non-Android personnel present is about to be stopped or killed by a dilemma, you may discard two Android personnel from hand to prevent that.
Sakonna Puzzled Interrogator	TOSP	STVE-EN18040	V	Y	Y	18V040	Personnel	2					Non-Aligned	[Stf][Maq]				Vulcan	Geology Physics Transporters	4	7	6	When this personnel is randomly selected by a dilemma, if there are two [Maq] personnel present, that dilemma's owner must place two cards from hand on top of his or her deck in any order.
Fiona McKenzie Experienced Corporal	TOSP	STVE-EN18043	V	Y	Y	18V043	Personnel	3					Starfleet	[Stf][Pa]		MACO. 		Human	Exobiology Leadership Navigation Security Transporters	6	5	6	While this personnel is facing a dilemma, if three MACO personnel are present with her, you may discard a card from hand to make a [SF] personnel present attributes +2 until the end of that dilemma.
Gannet Brooks Undercover Operative	TOSP	STVE-EN18044	V	Y	Y	18V044	Personnel	3					Starfleet	[Pa]				Human	Anthropology Diplomacy Intelligence Programming Security	5	6	4	While this personnel is attempting a mission, you may discard a [SF] personnel from hand to give her one of the discarded personnel's skills until the end of that mission attempt.
U.S.S. Sao Paulo NCC-75633	TOSP	STVE-EN18045	V	Y	Y	18V045	Ship	7					Federation	[DS9]	[Cmd][Cmd][Cmd][Stf]		Defiant Class			8	10	10	When your [DS9] personnel aboard this ship is about to be killed by a dilemma, you may stop that personnel instead.
Agonizing Encounter *VP	VP	STVP-EN019	VP	N	Y	0VP019	Dilemma	5	D														For each headquarters you command, this dilemma is cost -1.  Your opponent names a skill.  For each of your missions that requires that skill, randomly select a personnel to be stopped.
Stripped Down *VP	VP	STVP-EN020	VP	N	Y	0VP020	Dilemma	1	D														Your opponent moves up to two dilemmas from beneath this mission to another of your non-headquarters missions.
Machinations *VP	VP	STVP-EN021	VP	N	Y	0VP021	Event	2								Temporal. 							Plays in your core.  When you have drawn dilemmas, you may remove this event and those dilemmas from the game to search your dilemma pile and choose a dilemma for your opponent's personnel to face that costs no more than the number of dilemmas you removed.  Shuffle and replace your dilemma pile face down. Place the chosen dilemma on the top of your dilemma stack.
Amanda Rogers *VP	VP	STVP-EN022	VP	N	Y	0VP022	Interrupt	0															To play this interrupt, you must have 5 or more points. When an event or interrupt is played, prevent that event or interrupt and place it in its owner’s discard pile. Lose 5 points.
Escape *VP	VP	STVP-EN023	VP	N	Y	0VP023	Interrupt	0															When any number of your personnel facing a dilemma are about to be killed or placed in an opponent’s brig, discard a random card from hand to prevent that. Those personnel are stopped instead.
Kira Nerys Iliana Ghemor *VP	VP	STVP-EN024	VP	Y	Y	0VP024	Personnel	1					Cardassian	[Stf]		Dissident. 		Bajoran	Honor Programming Security	6	6	6	Order - Lose 5 points and stop this personnel to download up to three Dissident personnel, then place them on a headquarters mission where they could be played.
Arandis Risan Facilitator *VP	VP	STVP-EN025	VP	Y	Y	0VP025	Personnel	4					Non-Aligned					Risan	2 Anthropology Diplomacy Geology Leadership	6	5	4	When you play this personnel, each player may download a card.
Kamala The Perfect Mate *VP	VP	STVP-EN026	VP	Y	Y	0VP026	Personnel	3					Non-Aligned					Kriosian	2 Anthropology Archaeology Diplomacy Telepathy	6	6	4	Order - This personnel gains one skill from another personnel present.  She keeps this skill until the start of your next turn.  You may do this only once each turn.
